Taxon,Plant_part,Phylum,Locality,C_percent,C_N_P,References
Thalassia testudinum,leaves,S,Barbados,-,445:32:01,Patriquin 1972
T. testudinum,rhizomes,S,Barbados,-,601:20:01,Patriquin 1972
Turbinaria ornata,,P,Hawaii,30,1090:20:01,
T. ornata,,P,N. Queensland,36,925:22:01,
Udotea petiolata,,Ch,Corsica,29,527:78:1,
Ulva sp.,,Ch,Rhode Island,35,336:35:01,
Ulva reticulata,,Ch,Hawaii,32,1051:80:1,
Undaria pinnatifida,,P,Japan,-,307:18:01,Johnston1 971
Zostera capricorni,leaves,S,N. Queensland,-,349:17:01,Birch 1975
Z. capricorni,rhizomes,S,N. Queensland,-,465:08:01,Birch 1975
Z. capricorni,leaves,S,N. Queensland,32,302:09:01,
Zostera marina,leaves,S,California,39,274:38:01,
Z. marina,leaves,S,Rhode Island,34,481:27:01,
Z. marina,leaves,S,Virginia,42,584:41:01,
